,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_b,Churn
22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20.15,20.15,1,1
23,0,1,0,2,1,1,2,1,2,1,1,2,1,3,59.9,3474.2,0,0
24,0,1,1,1,1,2,2,1,2,1,1,0,0,3,59.6,2920.4,0,0
25,0,0,0,1,1,2,2,1,1,1,1,0,1,2,55.3,1659.0,0,0
26,0,1,1,2,2,1,2,1,1,2,2,0,1,0,99.35,4669.45,0,1
27,0,1,1,0,1,1,2,1,1,1,1,0,0,0,30.2,30.2,1,1
28,0,1,0,2,1,2,2,2,2,2,2,2,1,3,90.25,6498.0,0,0
29,0,0,1,1,1,1,1,1,1,2,2,0,1,1,64.7,1099.9,0,1
30,1,1,0,2,2,2,2,2,2,1,1,2,1,3,96.35,6840.849999999999,0,0
31,1,1,0,1,2,1,1,2,1,2,2,0,1,3,95.5,191.0,1,0
32,0,1,1,1,1,2,2,2,2,1,1,1,0,1,66.15,1786.0500000000002,0,0
33,0,0,0,1,0,0,0,0,0,0,0,0,0,2,20.2,20.2,1,0
34,1,0,0,1,1,1,1,1,1,1,1,0,0,2,45.25,45.25,1,0
35,0,1,1,2,2,2,2,1,2,2,1,2,0,2,99.9,7192.8,0,0
36,0,0,0,1,2,1,1,1,1,1,1,0,1,0,69.7,348.5,1,1
37,0,0,0,1,2,1,1,2,1,1,1,0,1,3,74.8,3440.7999999999997,0,0
38,0,0,0,2,2,1,2,2,1,2,2,0,1,0,106.35,3615.8999999999996,0,1
39,0,0,0,2,2,1,1,2,1,2,2,0,1,2,97.85,1076.35,1,1
40,0,1,1,1,1,1,2,1,1,1,1,1,0,1,49.55,495.5,1,0
41,0,1,1,2,1,2,2,1,1,2,1,2,1,3,69.2,4844.0,0,0
42,0,1,1,1,0,0,0,0,0,0,0,1,0,1,20.75,352.75,0,0
43,0,0,0,2,1,2,2,2,2,2,1,2,1,3,79.85,5030.549999999999,0,0
44,0,1,0,2,1,2,2,1,2,2,1,0,1,0,76.2,990.6,0,0
45,0,0,0,2,2,1,1,1,1,1,2,0,1,0,84.5,4140.5,0,0
46,0,0,0,1,1,1,2,1,1,1,1,0,0,1,49.25,98.5,1,0
47,0,0,0,1,2,1,1,1,1,2,1,0,1,0,80.65,161.3,1,1
48,0,0,0,2,1,2,1,1,2,2,2,2,1,3,79.75,4147.0,0,0
49,0,1,1,2,1,2,1,2,2,1,1,2,1,3,64.15,4426.35,0,0
50,1,0,0,2,2,1,2,1,1,2,1,0,1,0,90.25,3880.75,0,0
51,0,0,0,1,2,2,2,1,1,2,2,0,1,3,99.1,1486.5,0,1
52,1,1,0,2,1,2,1,1,2,2,1,0,1,3,69.5,1737.5,0,0
53,1,1,0,2,2,1,2,1,1,1,1,0,1,3,80.65,645.2,1,1
54,1,1,1,1,1,2,2,2,2,1,2,1,1,3,74.85,4491.0,0,0
55,1,0,0,2,2,1,1,1,1,2,2,0,1,0,95.45,1718.1000000000001,0,1
56,0,1,1,2,2,2,1,1,1,2,2,1,1,3,99.65,6277.950000000001,0,0
57,1,1,1,2,2,1,2,2,2,2,2,1,1,0,108.45,7157.7,0,0
58,0,1,1,2,0,0,0,0,0,0,0,2,0,3,24.95,848.3,0,0
59,0,0,0,2,2,1,1,2,2,2,2,2,1,3,107.5,7740.0,0,0
60,0,1,0,2,2,1,1,2,1,2,2,0,1,0,100.5,4723.5,0,0
61,0,0,0,2,2,1,2,1,1,2,1,0,1,2,89.9,5394.0,0,0
62,0,1,0,0,1,2,2,2,1,1,1,2,0,2,42.1,3031.2000000000003,0,0
63,0,1,1,1,1,1,1,2,2,1,1,1,1,3,54.4,979.1999999999999,0,0
64,0,0,0,2,2,1,1,1,1,2,2,0,0,0,94.4,849.6,1,1
65,0,0,0,1,1,1,2,1,2,2,2,0,1,0,75.3,225.89999999999998,1,0
66,0,1,0,2,2,1,2,1,1,1,1,1,1,0,78.9,3708.3,0,0
67,0,0,0,1,1,1,2,2,2,2,2,2,0,1,79.2,2455.2000000000003,0,0
68,0,1,1,1,0,0,0,0,0,0,0,2,0,2,20.15,1007.4999999999999,0,0
69,0,0,0,1,2,2,1,2,1,1,1,0,1,1,79.85,798.5,1,0
70,0,0,0,1,1,1,1,1,2,1,1,0,0,1,49.05,49.05,1,0
71,0,1,1,1,0,0,0,0,0,0,0,1,1,0,20.4,1060.8,0,0
72,1,1,1,2,2,2,1,2,2,2,2,2,1,2,111.6,7142.4,0,0
73,0,1,1,2,0,0,0,0,0,0,0,2,1,2,24.25,1503.5,0,0
74,0,0,1,1,1,2,1,1,2,1,2,0,1,2,64.5,193.5,1,0
75,1,0,0,2,2,2,2,2,1,2,2,1,0,0,110.5,6188.0,0,0
76,0,0,0,1,1,1,1,1,1,1,2,1,0,3,55.65,2559.9,0,0
77,0,1,1,1,1,2,2,1,1,1,1,0,0,1,54.65,437.2,1,0
78,1,0,0,1,1,2,2,1,1,2,2,0,1,0,74.75,2242.5,0,0
79,0,1,1,2,0,0,0,0,0,0,0,1,1,3,25.9,1165.5,0,0
80,0,0,1,1,2,1,1,1,1,2,1,0,1,0,79.35,79.35,1,1
81,0,1,1,0,1,2,1,1,1,2,2,0,0,0,50.55,556.05,1,0
82,0,1,0,1,2,1,1,2,1,1,1,0,1,2,75.15,526.0500000000001,1,1
83,0,0,0,1,2,1,2,2,2,2,2,0,1,2,103.8,4359.599999999999,0,0
84,0,1,0,1,0,0,0,0,0,0,0,2,1,2,20.15,987.3499999999999,0,0
85,0,0,0,2,2,1,2,1,1,2,2,0,1,3,99.3,893.6999999999999,1,0
86,0,1,0,1,1,2,1,1,1,2,1,1,1,2,62.15,2175.25,0,0
87,0,1,1,1,0,0,0,0,0,0,0,2,0,2,20.65,991.1999999999999,0,0
88,0,1,1,1,0,0,0,0,0,0,0,2,1,1,19.95,917.6999999999999,0,0
89,0,1,0,0,1,1,1,1,1,2,1,0,0,1,33.75,978.75,0,0
90,0,1,1,1,2,1,2,2,1,1,1,0,0,2,82.05,2461.5,0,0
91,1,0,0,1,2,1,1,1,2,1,1,0,0,0,74.7,74.7,1,0
92,0,1,1,2,1,2,1,2,2,2,2,2,1,1,84.0,5544.0,0,0
93,0,0,0,2,2,2,2,2,1,2,2,0,1,3,111.05,7218.25,0,0
94,0,0,0,2,2,1,2,2,1,2,2,2,1,2,100.9,7264.8,0,0
95,0,0,0,2,2,2,1,1,1,1,1,0,1,0,78.95,947.4000000000001,1,1
96,0,1,1,2,1,2,2,1,2,1,1,1,1,3,66.85,4746.349999999999,0,0
97,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21.05,105.25,1,1
98,0,0,0,1,0,0,0,0,0,0,0,2,0,2,21.0,1092.0,0,0
99,1,1,0,1,2,1,2,2,1,2,2,0,1,0,98.5,2462.5,0,1
100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20.2,20.2,1,0
101,0,1,1,1,0,0,0,0,0,0,0,0,0,0,19.45,19.45,1,0
102,0,0,0,2,2,1,1,2,2,2,1,1,0,2,95.0,3610.0,0,0
103,1,1,0,0,1,1,2,2,1,2,1,1,0,2,45.55,3006.2999999999997,0,0
104,0,1,0,2,2,1,2,2,2,2,2,2,1,2,110.0,7480.0,0,1
105,0,0,0,0,1,1,1,1,1,1,1,0,0,1,24.3,121.5,1,0
106,0,1,1,2,2,2,2,1,1,2,2,1,1,0,104.15,7498.8,0,0
107,0,0,0,0,1,2,1,1,1,1,1,1,0,1,30.15,964.8,0,0
108,0,0,0,2,2,1,1,1,1,2,2,1,0,1,94.35,4057.0499999999997,0,0
109,0,1,1,1,0,0,0,0,0,0,0,2,0,3,19.4,1396.8,0,0
110,0,1,0,2,2,2,2,1,1,2,1,0,1,0,96.75,5321.25,0,1
111,0,0,0,1,1,2,1,2,2,1,1,1,0,3,57.95,3013.4,0,0
112,0,0,0,1,2,1,2,2,1,2,1,0,1,0,91.65,3940.9500000000003,0,0
113,1,1,0,2,2,1,1,1,1,1,1,0,1,0,76.5,2830.5,0,1
114,0,1,1,0,1,1,2,1,2,2,2,2,1,0,54.6,3494.4,0,0
115,0,1,1,1,2,2,2,1,1,2,1,0,0,0,89.85,269.54999999999995,1,0
116,0,0,0,0,1,2,1,1,1,1,1,2,0,2,31.05,1117.8,0,0
117,0,1,1,2,2,2,1,1,1,2,2,0,1,0,100.25,1002.5,1,1
118,0,0,0,1,0,0,0,0,0,0,0,2,0,1,20.65,846.65,0,0
119,0,1,1,2,2,1,2,1,2,1,1,0,1,3,85.2,2300.4,0,0
120,0,1,1,2,2,1,1,2,1,2,2,1,1,3,99.8,5588.8,0,0
121,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20.7,124.19999999999999,1,0
122,0,0,0,2,2,1,1,1,1,1,1,0,1,0,74.4,223.20000000000002,1,1
123,0,1,1,1,1,2,1,1,1,1,1,0,0,1,50.7,354.90000000000003,1,0
124,0,1,1,1,0,0,0,0,0,0,0,0,0,1,20.85,83.4,1,0
125,0,0,0,1,2,2,1,1,2,2,1,2,1,0,88.95,2935.35,0,0
126,1,0,0,2,2,1,1,2,1,1,1,0,1,0,78.05,2107.35,0,1
127,0,1,0,2,0,0,0,0,0,0,0,2,1,2,23.55,1695.6000000000001,0,0
128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19.75,19.75,1,0
129,1,0,0,0,1,2,2,1,1,2,2,1,1,0,56.45,4007.9500000000003,0,0
130,0,0,0,2,2,1,1,1,1,1,2,0,1,0,85.95,1117.3500000000001,0,0
131,0,1,1,0,1,2,2,2,1,2,2,0,1,3,58.6,1465.0,0,1
132,0,0,0,1,1,1,1,1,2,1,1,2,0,2,50.55,3386.85,0,0
133,0,0,0,0,1,1,1,1,1,1,2,0,1,0,35.45,35.45,1,1
134,0,0,0,1,1,1,1,1,1,1,1,0,0,0,44.35,88.7,1,1
135,0,0,0,2,0,0,0,0,0,0,0,2,1,3,25.7,1105.1,0,0
136,0,0,0,1,2,2,1,1,1,1,1,0,1,2,75.0,1725.0,0,0
137,0,1,1,1,0,0,0,0,0,0,0,2,0,1,20.2,1292.8,0,0
138,0,0,1,1,0,0,0,0,0,0,0,2,1,1,19.6,1117.2,0,0
139,1,1,0,1,2,1,1,1,1,1,1,0,1,1,70.45,70.45,1,1
140,1,1,1,2,1,2,2,2,2,2,2,2,1,3,88.05,6339.599999999999,0,0
141,0,0,0,2,1,2,1,1,2,1,2,0,0,0,71.15,569.2,1,1
142,0,1,0,2,2,1,2,1,1,2,2,2,1,2,101.05,6164.05,0,0
143,0,0,0,2,2,2,2,1,1,1,1,1,1,3,84.3,5395.2,0,0
144,1,1,0,2,0,0,0,0,0,0,0,2,0,2,23.95,1700.45,0,0
145,0,1,1,2,2,2,2,1,2,2,1,2,1,3,99.05,6438.25,0,0
146,0,0,0,1,0,0,0,0,0,0,0,1,0,1,19.6,58.800000000000004,1,0
147,0,0,0,1,1,1,1,1,1,1,1,0,1,0,45.65,45.65,1,1
148,0,0,1,1,1,1,2,2,1,2,1,1,0,3,64.5,1935.0,0,0
149,0,1,1,1,1,1,2,2,2,1,2,0,1,1,69.5,1042.5,0,0
150,0,1,1,1,1,1,1,1,2,2,2,0,1,0,68.55,548.4,1,0
151,0,0,0,2,2,1,1,1,1,2,2,0,0,1,95.0,665.0,1,1
152,0,1,1,2,2,2,2,2,1,2,2,1,1,3,108.15,7570.5,0,0
153,0,1,1,1,1,2,2,2,2,2,2,2,0,0,86.1,5338.2,0,0
154,0,1,1,1,0,0,0,0,0,0,0,0,0,1,19.7,118.19999999999999,1,0
155,0,1,1,1,2,1,1,1,1,1,2,0,1,2,80.9,1132.6000000000001,0,0
156,0,0,0,2,2,1,1,1,1,2,1,0,1,2,84.15,1851.3000000000002,0,0
157,0,1,1,1,0,0,0,0,0,0,0,1,0,1,20.15,443.29999999999995,0,0
158,0,1,1,1,1,2,1,2,1,2,1,2,0,1,64.25,1028.0,0,0
159,0,0,0,2,0,0,0,0,0,0,0,2,0,2,25.7,257.0,1,0
160,0,0,1,1,1,2,2,1,1,1,1,0,1,0,56.0,728.0,0,0
161,0,1,0,2,2,2,1,1,1,1,1,0,0,0,82.4,1648.0,0,1
162,0,0,0,1,2,1,1,1,1,1,1,0,1,0,69.7,139.4,1,0
163,0,0,0,2,1,1,2,2,2,1,2,2,1,2,73.9,3916.7000000000003,0,0
164,0,1,1,1,0,0,0,0,0,0,0,1,0,1,20.6,226.60000000000002,1,0
165,0,1,0,1,0,0,0,0,0,0,0,2,0,1,19.9,1373.1,0,0
166,0,0,0,1,2,1,1,1,1,1,1,0,1,2,70.9,283.6,1,1
167,0,1,0,2,1,2,2,2,2,2,2,2,1,2,89.05,6411.599999999999,0,0
168,1,1,0,0,1,1,2,2,1,1,2,0,1,0,45.3,2627.3999999999996,0,1
169,0,1,1,1,0,0,0,0,0,0,0,0,0,0,20.4,326.4,0,0
170,0,1,0,1,2,2,1,2,2,1,1,1,1,2,84.25,3622.75,0,0
171,0,1,0,2,2,1,1,2,2,2,2,0,1,0,104.4,208.8,1,1
172,0,1,0,1,1,1,2,2,2,2,2,2,0,1,81.95,1147.3,0,0
173,0,1,0,1,2,1,1,2,1,2,2,1,1,2,94.85,5027.049999999999,0,1
174,0,0,0,1,0,0,0,0,0,0,0,1,0,2,20.55,657.6,0,0
175,0,1,0,2,0,0,0,0,0,0,0,0,0,0,24.7,839.8,0,0
176,1,0,0,2,2,1,1,1,1,1,1,0,1,1,74.45,1116.75,0,1
177,1,0,0,1,2,2,1,1,1,1,1,0,0,2,76.45,535.15,1,1
178,0,1,1,2,2,1,2,2,1,2,2,0,1,2,105.35,1580.25,0,0
179,0,1,0,1,0,0,0,0,0,0,0,1,1,3,20.55,1253.55,0,0
180,0,0,0,0,1,1,2,1,1,1,1,0,0,2,29.95,29.95,1,1
181,0,0,0,1,1,1,1,1,1,1,1,0,0,1,45.3,45.3,1,0
182,0,0,0,2,2,1,1,1,1,1,2,0,0,2,84.5,676.0,1,1
183,0,1,1,1,1,2,1,2,1,2,2,1,0,3,74.75,2466.75,0,0
184,0,0,0,1,2,1,2,2,1,1,1,0,1,0,79.25,1030.25,0,1
185,0,1,0,0,1,1,1,1,1,1,1,0,1,0,24.8,24.8,1,1
186,0,0,0,1,1,1,2,1,1,1,1,0,1,1,51.8,1036.0,0,0
187,0,0,0,0,1,1,1,1,2,1,1,0,0,0,30.4,91.19999999999999,1,0
188,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19.65,255.45,0,0
189,0,1,0,2,1,1,2,1,1,1,1,0,0,3,56.6,2264.0,0,0
190,0,1,1,2,1,2,1,1,2,1,2,1,1,3,71.9,3091.7000000000003,0,0
191,0,1,0,1,2,1,2,2,1,1,2,0,1,0,91.0,546.0,1,1
192,0,1,1,1,0,0,0,0,0,0,0,2,0,2,19.75,1362.75,0,0
193,0,1,1,2,2,2,2,2,1,2,2,2,0,3,109.7,7898.400000000001,0,0
194,0,1,1,1,0,0,0,0,0,0,0,2,0,3,19.3,1138.7,0,0
195,0,1,0,1,2,2,2,1,2,2,1,0,1,0,96.55,1931.0,0,0
196,0,1,1,2,0,0,0,0,0,0,0,2,1,2,24.1,578.4000000000001,0,0
197,0,0,0,2,2,1,2,2,2,2,2,0,1,0,111.35,6569.65,0,0
198,0,1,1,2,2,1,2,2,2,2,2,2,1,2,112.25,8082.0,0,0
199,0,0,1,1,0,0,0,0,0,0,0,0,0,1,20.75,20.75,1,0
200,0,1,0,1,2,2,1,1,2,2,2,1,1,3,101.9,2751.3,0,0
201,0,0,0,1,2,1,2,1,2,1,1,0,1,3,80.05,1120.7,0,0
202,0,1,1,2,2,2,1,2,1,2,2,2,0,0,105.55,7494.05,0,0
203,0,0,1,1,2,1,1,1,1,2,1,0,1,3,78.3,1017.9,0,0
204,0,0,0,1,2,1,1,1,1,1,1,0,0,3,68.85,3029.3999999999996,0,0
205,0,0,0,1,2,1,2,1,2,1,1,1,1,2,79.95,2638.35,0,0
206,0,1,1,0,1,2,2,2,2,1,2,2,1,3,55.45,3992.4,0,0
207,0,0,0,1,2,1,1,1,1,1,2,0,0,0,79.9,79.9,1,1
208,0,0,0,1,2,2,1,2,2,2,2,0,1,0,106.6,2025.3999999999999,0,1
209,0,1,0,1,2,1,2,2,2,2,2,1,1,3,102.45,6556.8,0,0
210,0,0,0,1,1,1,1,1,1,1,1,0,1,3,46.0,92.0,1,1
211,0,0,0,0,1,1,1,1,1,1,1,0,0,0,25.25,25.25,1,0
212,0,0,1,1,0,0,0,0,0,0,0,2,0,1,19.75,1204.75,0,0
213,0,1,1,1,0,0,0,0,0,0,0,1,0,0,20.0,580.0,0,0
214,1,1,0,2,2,1,1,1,1,1,2,0,0,0,86.8,1996.3999999999999,0,0
215,0,1,0,0,1,2,2,2,1,2,2,0,1,2,58.75,3348.75,0,0
216,0,1,1,0,1,2,2,2,2,1,1,2,0,3,45.25,3258.0,0,0
217,0,1,0,0,1,2,2,2,2,2,1,2,1,2,56.6,3735.6,0,0
218,0,1,1,2,1,1,2,2,2,2,2,2,1,2,84.2,5473.0,0,0
219,0,0,0,1,2,1,1,1,1,2,1,0,1,2,80.0,640.0,1,0
220,0,0,0,1,2,1,1,1,1,1,1,0,1,0,70.15,280.6,1,1
221,0,1,0,2,0,0,0,0,0,0,0,2,0,2,24.75,1757.25,0,0
222,0,1,1,1,0,0,0,0,0,0,0,1,1,0,20.2,20.2,1,0
223,0,1,0,1,1,1,1,1,2,1,1,0,0,1,50.05,200.2,1,1
224,0,0,0,1,0,0,0,0,0,0,0,1,1,2,19.35,232.20000000000002,1,0
225,0,0,0,0,1,2,1,1,1,2,2,1,1,1,50.6,1214.4,0,0
226,0,1,1,1,1,2,1,2,2,2,2,1,1,1,81.15,2515.65,0,0
227,0,1,0,1,1,1,1,1,1,2,1,0,0,1,55.2,55.2,1,1
228,0,0,0,2,2,1,1,1,2,1,2,0,1,3,89.9,2697.0,0,0
229,0,1,1,2,1,2,2,1,2,2,2,2,1,3,85.3,4009.1,0,0
230,0,0,0,2,2,2,2,1,2,2,2,2,1,3,108.0,5832.0,0,0
231,0,0,0,1,2,2,2,1,2,1,2,0,1,3,93.5,4675.0,0,0
232,0,0,0,1,2,2,1,1,1,1,2,0,1,1,84.6,84.6,1,1
233,0,0,0,1,0,0,0,0,0,0,0,2,0,3,20.25,1458.0,0,0
234,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25.15,729.3499999999999,0,0
235,0,0,0,2,1,1,2,1,1,1,1,0,1,1,54.4,108.8,1,1
236,0,0,0,0,1,1,1,1,2,1,1,2,1,1,29.6,296.0,1,0
237,0,1,0,2,2,1,1,1,1,1,1,0,1,0,73.15,1316.7,0,0
238,1,0,0,1,2,1,2,1,1,2,2,0,1,0,95.0,1045.0,1,1
239,0,0,0,1,0,0,0,0,0,0,0,2,0,1,19.75,316.0,0,0
240,0,0,0,2,1,1,2,2,2,2,2,2,0,2,86.6,6235.2,0,0
241,0,0,0,2,2,1,2,2,2,2,2,2,0,2,109.2,7862.400000000001,0,0
242,0,1,1,1,1,2,1,1,2,2,2,1,1,3,74.7,3062.7000000000003,0,0
243,1,1,0,1,2,2,2,2,1,1,2,0,0,0,94.4,6136.0,0,0
244,1,0,0,1,1,1,2,2,1,1,1,0,1,0,54.8,712.4,0,0
245,1,0,0,1,2,2,1,1,1,1,1,0,0,0,75.35,301.4,1,0
246,0,0,0,2,1,1,1,2,1,1,2,1,0,1,65.0,2665.0,0,0
247,1,0,0,1,2,1,2,1,1,1,1,0,1,0,74.4,1116.0,0,1
248,0,0,0,1,1,2,1,1,1,1,1,0,1,1,48.55,48.55,1,1
249,0,0,0,2,2,2,2,2,1,1,2,1,1,0,99.0,4158.0,0,0
250,0,1,0,1,2,2,2,2,1,2,1,1,1,0,93.5,4768.5,0,0
251,0,1,1,1,2,1,1,1,1,1,1,0,0,0,70.4,140.8,1,1
252,1,1,0,0,1,1,2,1,1,2,1,0,0,0,40.2,40.2,1,1
253,0,0,1,2,1,1,2,2,2,2,2,1,0,3,83.7,2678.4,0,0
254,0,0,0,1,0,0,0,0,0,0,0,0,1,1,19.85,198.5,1,0
255,0,1,1,0,1,1,2,2,2,2,2,2,1,0,59.55,3989.85,0,0
256,0,1,1,2,2,2,2,2,2,2,2,2,0,3,115.1,7021.099999999999,0,0
257,0,0,0,2,2,2,2,2,2,2,2,1,0,3,114.35,5717.5,0,0
258,0,1,0,1,1,1,1,1,1,1,1,0,1,3,44.6,89.2,1,1
259,1,1,0,0,1,2,1,2,1,1,2,0,1,0,45.0,1305.0,0,0
260,1,0,0,0,1,1,1,2,1,1,2,0,1,0,41.15,123.44999999999999,1,1
261,1,0,0,2,2,1,2,2,1,2,2,0,1,0,106.9,1389.7,0,1
262,1,1,0,2,2,1,2,1,1,1,2,0,1,0,89.85,5121.45,0,0
263,0,0,0,0,1,2,2,1,2,1,2,2,1,2,49.85,1545.3500000000001,0,0
264,0,1,0,2,2,2,2,2,2,2,2,1,0,1,113.3,5098.5,0,0
265,0,1,1,2,1,2,2,2,2,2,2,2,0,1,88.1,5374.099999999999,0,0
266,0,0,0,2,0,0,0,0,0,0,0,2,0,2,24.9,1245.0,0,0
267,1,0,0,1,2,2,2,1,2,2,2,0,1,1,105.0,1995.0,0,0
268,0,0,0,1,0,0,0,0,0,0,0,2,0,1,19.35,1141.65,0,1
269,0,1,0,2,0,0,0,0,0,0,0,2,1,3,24.25,1721.75,0,0
270,1,0,0,1,2,1,1,1,2,2,2,0,1,0,94.45,1511.2,0,1
271,0,1,0,1,1,2,2,1,2,1,1,2,1,0,59.75,3405.75,0,0
272,0,0,0,0,1,1,1,1,1,1,1,0,0,2,24.8,24.8,1,1
273,1,1,0,2,2,1,2,1,2,2,2,0,0,0,107.05,2141.0,0,0
274,0,0,0,1,2,1,1,1,1,1,1,0,0,1,70.6,70.6,1,1
275,0,1,0,2,2,1,2,1,2,1,1,0,1,0,85.4,427.0,1,1
276,0,1,0,2,2,1,2,2,1,2,2,0,1,0,105.05,5462.599999999999,0,1
277,1,1,0,1,1,2,2,1,1,1,2,0,1,2,64.95,1363.95,0,0
278,0,0,0,0,1,1,1,2,2,2,2,0,1,0,55.0,770.0,0,0
279,0,0,0,1,1,1,2,1,1,1,1,0,0,2,50.55,252.75,1,0
280,0,0,0,1,1,2,2,1,1,1,1,0,0,1,55.15,330.9,1,0
281,0,0,0,1,1,1,2,1,1,1,1,0,0,0,51.2,512.0,1,0
282,0,0,1,2,0,0,0,0,0,0,0,0,0,1,25.4,25.4,1,0
283,0,0,0,2,1,2,1,1,1,1,1,0,0,1,54.45,3702.6000000000004,0,0
284,0,1,1,1,2,1,1,2,1,2,2,0,0,1,95.15,1712.7,0,1
285,0,0,0,2,2,1,1,1,1,1,1,1,1,3,76.0,1672.0,0,0
286,0,0,0,1,1,1,1,1,1,1,1,0,1,0,44.35,887.0,0,0
287,0,1,0,1,2,1,1,1,1,1,1,0,0,0,70.0,70.0,1,1
288,1,0,0,1,2,1,2,1,1,1,1,0,1,0,74.5,596.0,1,1
289,0,0,0,1,1,1,1,1,1,1,1,0,1,3,44.85,448.5,1,1
290,1,0,0,2,2,1,1,1,1,1,1,0,1,0,76.1,1826.3999999999999,0,1
291,0,0,0,1,1,2,2,2,1,1,1,1,0,1,61.2,2142.0,0,0
292,0,1,1,1,2,1,2,2,2,1,1,1,0,1,86.8,1996.3999999999999,0,0
293,1,0,0,1,2,1,1,1,1,2,2,0,1,0,89.35,536.0999999999999,1,0
294,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19.7,236.39999999999998,1,0
295,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20.25,20.25,1,0
296,0,1,1,1,2,1,1,2,1,1,1,2,0,0,76.05,5399.55,0,0
297,1,1,0,2,2,1,1,2,1,2,2,0,1,0,100.8,3528.0,0,0
298,0,1,1,2,1,1,1,2,1,2,2,0,1,0,74.55,2982.0,0,0
299,0,0,1,1,2,2,1,1,1,1,1,0,1,1,73.6,73.6,1,1
300,0,0,0,1,1,1,1,1,1,2,2,1,1,2,64.9,1492.7,0,0
301,1,0,0,2,2,1,1,1,1,2,2,0,1,0,95.45,381.8,1,1
302,0,0,0,1,2,1,1,2,2,1,2,0,1,0,90.4,361.6,1,0
303,0,1,1,0,1,1,2,2,2,2,2,2,0,3,60.3,4100.4,0,0
304,0,0,1,2,2,1,2,1,1,1,1,0,1,1,81.85,3110.2999999999997,0,0
305,0,1,1,2,0,0,0,0,0,0,0,2,0,1,24.8,1289.6000000000001,0,0
306,1,1,0,2,2,1,1,1,1,1,1,0,1,0,74.9,2396.8,0,1
307,0,1,1,1,1,1,1,2,2,2,2,2,0,1,75.55,2190.95,0,0
308,1,1,1,2,2,1,2,1,1,2,2,0,0,0,101.15,3843.7000000000003,0,0
309,0,0,1,2,1,2,1,2,1,2,2,1,1,3,78.75,3780.0,0,0
310,0,0,0,1,0,0,0,0,0,0,0,0,1,2,19.25,19.25,1,0
311,0,0,0,1,2,2,1,1,2,1,2,0,1,0,89.05,1959.1,0,0
312,0,0,0,2,2,2,2,2,2,2,2,2,0,3,115.05,4947.15,0,0
313,1,1,0,1,2,1,1,1,1,1,1,0,1,0,69.35,346.75,1,0
314,0,0,0,1,2,1,1,1,1,2,1,0,1,0,80.6,403.0,1,1
315,0,1,1,2,2,2,2,1,2,2,2,1,0,3,110.05,5612.55,0,0
